dataset,seed,model,true_class,predicted_class,count
ITIncident,13,MLP,High,Medium,136
ITIncident,13,MLP,Low,High,0
ITIncident,13,MLP,Low,Low,0
ITIncident,13,MLP,Low,Medium,155
ITIncident,13,MLP,Medium,High,0
ITIncident,13,MLP,Medium,Low,0
ITIncident,13,MLP,Medium,Medium,4693
ITIncident,13,LogReg,High,High,59
ITIncident,13,LogReg,High,Low,33
ITIncident,13,LogReg,High,Medium,44
ITIncident,13,LogReg,Low,High,26
ITIncident,13,LogReg,Low,Low,76
ITIncident,13,LogReg,Low,Medium,53
ITIncident,13,LogReg,Medium,High,1173
ITIncident,13,LogReg,Medium,Low,1455
ITIncident,13,LogReg,Medium,Medium,2065
ITIncident,13,NaiveBayes,High,High,0
ITIncident,13,NaiveBayes,High,Low,0
ITIncident,13,NaiveBayes,High,Medium,136
ITIncident,13,NaiveBayes,Low,High,0
ITIncident,13,NaiveBayes,Low,Low,0
ITIncident,13,NaiveBayes,Low,Medium,155
ITIncident,13,NaiveBayes,Medium,High,0
ITIncident,13,NaiveBayes,Medium,Low,0
ITIncident,13,NaiveBayes,Medium,Medium,4693
ITIncident,99,KATS,High,High,132
ITIncident,99,KATS,High,Low,3
ITIncident,99,KATS,High,Medium,1
ITIncident,99,KATS,Low,High,76
ITIncident,99,KATS,Low,Low,51
ITIncident,99,KATS,Low,Medium,28
ITIncident,99,KATS,Medium,High,2787
ITIncident,99,KATS,Medium,Low,563
ITIncident,99,KATS,Medium,Medium,1343
ITIncident,99,LightGBM,High,High,103
ITIncident,99,LightGBM,High,Low,10
ITIncident,99,LightGBM,High,Medium,23
ITIncident,99,LightGBM,Low,High,33
ITIncident,99,LightGBM,Low,Low,65
ITIncident,99,LightGBM,Low,Medium,57
ITIncident,99,LightGBM,Medium,High,1032
ITIncident,99,LightGBM,Medium,Low,739
